SCHLAGSATZ,SCHLAGNR,KTA_VJ,KTA_AJ,SCHLAGFLAE,LE_FLAECHE,AUKM,OER_VJ,OEKOREGELN,GLOEZ6,GLOEZ_ZF_U,KUP,SONSTIGE,ANSAATJAHR,ERNTEJAHR,BEMERKUNG,dist_to_water_m,fertilizer_amount_N_kg_per_ha,area_ha,n_applied_kg_ha,n_total_kg,n_estimated_to_water_kg
206851498,51,88,88,11556,0,,ÖR1A,ÖR1A,3,,,,,,,1449.258272735922,40,2.7419272939222683,,,
206851499,50,88,928,3117,0,"JM,K",,,1,,,,,,,1402.7536714974558,40,0.7395755890559971,,,
206851506,41,131,210,13975,0,,ÖR2,ÖR2,2,,,,,,,1748.3957757747967,40,3.316177273222478,,,
206851488,66,42,42,11353,0,"K,L",ÖR2,ÖR2,3,,,,,,,1922.897649973173,40,2.693717246236602,,,
206851495,54,603,115,69139,0,,ÖR2,ÖR2,2,,,,,,,810.7313491073653,0,16.37508555434212,,,
206851490,64,115,311,31406,0,,ÖR2,ÖR2,2,,,,,,,1995.53131886013,40,7.452100099487516,,,
206851491,62,42,42,82427,0,"K,L",ÖR2,ÖR2,3,,,,,,,514.9216598249232,0,19.5655993958079,,,
206851492,61,928,928,14623,0,"JO,K",,,1,,,,,,,586.7425510008579,0,3.4710743010954968,,,
206851493,60,311,131,107398,0,,ÖR2,ÖR2,2,,,,,,,849.5010922540501,0,25.496855598226375,,,
206851487,70,603,115,33979,0,,ÖR2,ÖR2,2,,,,,,,1502.8487576462264,40,8.06375107902496,,,
206851489,65,451,451,11573,0,,,,,,,,,,,1959.8853760013114,40,2.7461804886219956,,,
206851494,59,42,88,9358,0,,ÖR1A,ÖR1A,3,,,,,,,1136.403865414327,40,2.215701943057106,,,
206851500,49,210,311,25097,0,,ÖR2,ÖR2,"4,Z2",,,,,,,1233.9925821904192,40,6.053289711468996,,,
206851501,47,311,115,19157,0,,ÖR2,ÖR2,"4,Z2",,,,,,,1129.8254301602797,40,4.547305269270559,,,
206851502,45,311,131,51916,0,,ÖR2,ÖR2,"4,Z2",,,,,,,1688.6655649709203,40,12.32275523485818,,,
206851503,44,311,131,56108,0,,ÖR2,ÖR2,"4,Z2",,,,,,,1466.30493746788,40,13.35816698801039,,,
206851504,43,311,210,14142,0,,ÖR2,ÖR2,2,,,,,,,1960.5671984156363,40,3.3561261692120903,,,
206851505,42,88,88,13093,0,,ÖR1A,ÖR1A,3,,,,,,,1807.0709869524694,40,3.127916473455801,,,
206851507,40,210,311,19867,0,,ÖR2,ÖR2,"4,Z2",,,,,,,1343.8388020331809,40,4.713700593005206,,,
206851508,39,210,311,11232,0,,ÖR2,ÖR2,"4,Z2",,,,,,,1429.2937616648703,40,2.6649709625024767,,,
206851509,38,131,603,96286,669,,ÖR2,ÖR2,"4,Z2",,,,,,,1668.8557611710228,40,22.848955615536646,,,
206851510,37,210,311,38289,35,,ÖR2,ÖR2,2,,,,,,,1174.486668624477,40,9.084238169492169,,,
